idx,token,operazione,motivo
10,Prodotto,sub,clausola subordinata/participiale (sintattico)
10,dalla,sub,altro
10,BBC,sub,altro
10,solo,sub,altro
10,ottiene,sub,altro
10,candidatura,sub,parola non di base (lessicale)
10,Premio,sub,altro
10,Oscar,sub,altro
10,per,sub,altro
10,miglior,sub,altro
10,cortometraggio,sub,parola non di base (lessicale)
20,ad,del,altro
20,a,del,altro
20,a,del,altro
20,pirotecnici,sub,parola non di base (lessicale)
20,delle,del,altro
20,che,del,altro
20,richiamavano,del,clausola subordinata/participiale (sintattico)
20,dai,del,altro
20,paesi,del,altro
20,circostanti,del,parola non di base (lessicale)
20,una,del,altro
20,moltitudine,del,parola non di base (lessicale)
20,gente,del,altro
20,.,del,altro
22,prestigio,sub,altro
22,peraltro,sub,altro
22,soffrirono,sub,altro
22,a,sub,altro
22,causa,sub,altro
22,;,sub,altro
42,Pur,sub,altro
42,di,sub,altro
42,la,del,altro
42,ex,del,altro
42,ragazza,del,altro
42,ora,del,altro
42,impiegata,del,clausola subordinata/participiale (sintattico)
42,come,del,altro
42,hostess,del,parola non di base (lessicale)
42,decide,sub,altro
42,di,sub,altro
42,trovare,sub,clausola subordinata/participiale (sintattico)
42,il,sub,altro
42,coraggio,sub,altro
42,imbarcandosi,sub,clausola subordinata/participiale (sintattico)
42,in,sub,altro
42,dove,del,altro
42,ella,del,altro
42,presta,del,clausola subordinata/participiale (sintattico)
42,servizio,del,altro
80,Cabrera,del,altro
80,il,del,altro
80,13,del,altro
80,novembre,del,altro
80,2001,del,altro
80,un,del,altro
80,bonus,del,parola non di base (lessicale)
80,alla,del,altro
80,firma,del,altro
80,175.000,del,altro
80,dollari,del,altro
80,.,del,altro
104,Esso,del,altro
104,di,del,altro
104,armamento,sub,altro
120,da,del,altro
120,Daniel,del,altro
120,",",del,altro
139,Dopo,del,altro
139,",",sub,altro
139,il,sub,altro
139,31,sub,altro
139,marzo,sub,altro
139,1567,sub,altro
139,",",sub,altro
139,il,sub,altro
139,venne,del,costruzione passiva (sintattico)
139,suddiviso,del,altro
139,avuti,sub,clausola subordinata/participiale (sintattico)
139,prima,sub,altro
139,:,sub,altro
164,suoi,del,altro
164,mancante,sub,altro
164,",",del,altro
164,era,del,costruzione passiva (sintattico)
164,costretto,del,altro
166,inquadrato,del,clausola subordinata/participiale (sintattico)
166,nella,del,altro
166,flotta,del,parola non di base (lessicale)
166,portaerei,del,parola non di base (lessicale)
166,in,del,altro
166,seguito,del,altro
166,partecipò,del,altro
166,diverse,del,altro
166,missioni,del,altro
166,del,del,altro
166,"""",del,altro
166,Tokyo,del,altro
166,Express,del,altro
166,"""",del,altro
166,:,sub,altro
184,Tachiraptor,sub,altro
184,(,sub,altro
184,"""",sub,altro
184,"""",sub,altro
184,),sub,altro
184,è,sub,altro
184,un,sub,altro
184,genere,sub,altro
184,dinosauri,sub,altro
184,carnivori,sub,parola non di base (lessicale)
184,Theropoda,sub,altro
184,appartenente,sub,clausola subordinata/participiale (sintattico)
184,",",sub,altro
184,trovata,sub,clausola subordinata/participiale (sintattico)
184,in,sub,altro
184,"""",sub,altro
184,Formazione,sub,altro
184,Quinta,sub,altro
184,"""",sub,altro
184,in,sub,altro
184,Venezuela,sub,altro
184,",",sub,altro
184,che,sub,altro
184,include,sub,clausola subordinata/participiale (sintattico)
184,solo,sub,altro
184,una,sub,altro
184,specie,sub,altro
184,",",sub,altro
184,Tachiraptor,sub,altro
184,admirabilis,sub,parola non di base (lessicale)
184,",",sub,altro
184,descritto,sub,clausola subordinata/participiale (sintattico)
184,da,sub,altro
184,dei,sub,altro
184,pezzi,sub,altro
184,bacino,sub,altro
184,e,sub,altro
184,tibia,sub,parola non di base (lessicale)
184,.,sub,altro
220,Come,sub,altro
220,dall',sub,altro
220,edizione,sub,altro
220,del,sub,altro
220,2019,sub,altro
220,disputò,sub,parola non di base (lessicale)
233,2001,del,altro
233,di,sub,altro
233,ritirandosi,sub,clausola subordinata/participiale (sintattico)
233,quindi,sub,altro
233,vita,sub,altro
233,privata,sub,altro
233,USA,del,altro
233,Miami,sub,altro
233,Florida,del,altro
233,dove,del,altro
233,si,del,altro
233,sposata,del,clausola subordinata/participiale (sintattico)
268,intanto,del,altro
268,dice,del,altro
268,ad,del,altro
268,che,del,altro
268,lui,del,altro
272,non,del,altro
272,solo,del,altro
272,:,sub,altro
276,"""",del,altro
276,sembra,del,altro
276,conseguirne,del,clausola subordinata/participiale (sintattico)
276,ormai,del,altro
276,",",del,altro
276,il,del,altro
276,Governo,del,altro
276,",",del,altro
276,compiere,del,altro
276,quegli,del,altro
276,atti,del,altro
276,",",sub,altro
276,allo,sub,altro
276,scopo,sub,altro
276,salvaguardare,sub,parola non di base (lessicale)
276,quelli,sub,altro
276,loro,del,altro
276,lanciate,del,clausola subordinata/participiale (sintattico)
276,;,del,altro
276,sfatare,sub,parola non di base (lessicale)
276,",",del,altro
276,",",del,altro
276,voglia,del,altro
276,",",del,altro
276,o,del,altro
276,non,del,altro
276,voglia,del,altro
276,attenersi,del,parola non di base (lessicale)
276,quella,del,altro
276,deferente,del,parola non di base (lessicale)
276,cortesia,del,altro
276,propria,del,altro
276,dei,del,altro
276,rapporti,del,altro
276,fra,del,altro
276,Stati,del,altro
276,sovrani,del,altro
276,;,del,altro
276,eliminare,sub,altro
276,possibilità,sub,altro
276,arresti,sub,altro
276,consegne,sub,altro
276,agli,del,altro
276,Stati,del,altro
276,richiedenti,del,parola non di base (lessicale)
276,",",del,altro
276,senza,del,altro
276,il,del,altro
276,concorso,del,altro
276,dello,del,altro
276,Nazionale,del,altro
276,;,del,altro
276,d,del,parola non di base (lessicale)
276,dimostrare,del,altro
276,si,del,altro
276,tiene,del,clausola subordinata/participiale (sintattico)
276,nel,del,altro
276,dovuto,del,altro
276,conto,del,altro
276,un,del,altro
276,grave,del,altro
276,problema,del,altro
276,quale,del,altro
276,quello,del,altro
276,dei,del,altro
276,criminali,del,altro
276,guerra,del,altro
276,"""",del,altro
276,.,del,altro
287,limitrofe,sub,parola non di base (lessicale)
290,anche,del,altro
290,una,del,altro
290,risalente,del,clausola subordinata/participiale (sintattico)
290,probabilmente,del,altro
299,A,del,altro
299,maggio,del,altro
299,",",del,altro
299,Musk,del,altro
299,disse,del,altro
299,che,del,altro
299,",",sub,altro
299,che,sub,costruzione passiva (sintattico)
299,sarebbe,sub,altro
299,aperto,sub,altro
299,dopo,sub,altro
299,qualche,sub,altro
299,mese,sub,altro
299,al,sub,altro
299,pubblico,sub,altro
299,",",sub,altro
299,che,sub,altro
299,poteva,sub,altro
299,provarlo,sub,clausola subordinata/participiale (sintattico)
299,gratuitamente,sub,parola non di base (lessicale)
299,",",sub,altro
299,attesa,sub,altro
299,dell',sub,altro
299,approvazione,sub,altro
301,con,sub,altro
301,il,sub,altro
301,di,sub,altro
301,«,sub,altro
301,»,del,altro
